image_path,boat_id,length_m
0_039d4e1e9be54a609033789d8584241e.jpg,0,220
0_062029cbedc6428f9fff74d6f16cf99f.jpg,0,178
0_0f90d6e742714806822278df76d15a93.jpg,0,239
0_24e8903640d74952959bc969fed628fe.jpg,0,159
0_2b0b35a1daff4ee392f2ce975bffe96a.jpg,0,196
0_2c461b37d90e41729b7da1f883208358.jpg,0,151
0_2cf285b8ae314f5bb5f7a22165410c85.jpg,0,295
0_3128a001e0e845ae8800eeb4fd74bec9.jpg,0,197
0_3cc63664f3534bb1ab5e54c2ce1d0b87.jpg,0,249
0_52fed1f00ca44de1903d8141d1f010e0.jpg,0,150
0_7a98ccf33e66498bbec0c80fdf1b84b2.jpg,0,185
0_7bdc446cf1904452b62054edd182549b.jpg,0,302
0_9ba5c2b401cb481a96d508f67673508b.jpg,0,195
0_9e8ba449657b43a9a1fb8823c6078c2b.jpg,0,189
0_abca9c188b444fa6985a9dde5499085f.jpg,0,178
0_c366a2dd337d4b418106ab958694b39e.jpg,0,212
0_ca04a9ac9cc9498b8577947c643603e9.jpg,0,153
0_cdff390d16ab4d9db8770b3acfea83ab.jpg,0,187
0_ed9022483d9748a795d866304984b6da.jpg,0,297
0_f3332a8a1b7b4724890a9d9c45592d8a.jpg,0,191
0_f5df04885ebc4c18a35a7137d2038a61.jpg,0,180
100900000_02105c72172b4926a79cb47077a0e541.jpg,100900000,165
100900000_12febd0694704b2d8bd36d80cc6bea4c.jpg,100900000,155
100900000_1379a26d29b5407f9819ce3b8bc3b72c.jpg,100900000,155
100900000_56818880cf7b4a76ba31bc1ae9c32d3d.jpg,100900000,189
100900000_6617089b3faa4f308e8a7232d69e3170.jpg,100900000,233
100900000_7495e023f7684bfcb429340c92d04a6b.jpg,100900000,197
100900000_dc2c2d8986e8485c9d0ec52e3def8bc7.jpg,100900000,211
100900000_eec3d5a753ee421c8588df65b208139b.jpg,100900000,230
100900000_f4d47e693cf64be0b1be0fb27e077d53.jpg,100900000,382
1020001801_319d14751993415db462e04c4c5cbf41.jpg,1020001801,245
1020001801_7de378789d7345d783ae57b9302455be.jpg,1020001801,204
1020001801_e39249af45f0459e8bcea39b1d2a4f4a.jpg,1020001801,191
106000000_01f09a155c5041f699a8a9130517aa30.jpg,106000000,244
106000000_112fc84e8ecd41da914f26f7b2e42700.jpg,106000000,169
106000000_79ab243603964148b37748d4c819f073.jpg,106000000,150
106000000_89f64bb81ea34552aa308a296dbc5fcf.jpg,106000000,202
106000000_9240ef147791415aa68d305422d3aa70.jpg,106000000,154
106000000_a084a0f0b30c4969be10c40d2692a99e.jpg,106000000,245
106000000_a7c4ee5ff5be4c30aac0dcd00b061411.jpg,106000000,333
106000000_c8d6c00947d4438582d0b59cbe4d87ff.jpg,106000000,155
106000000_cb399852252f41c69784781ccfe6ce57.jpg,106000000,293
106000000_cee87a9efc194e6c838312f729a75333.jpg,106000000,198
106000000_e6663b4450a443aeb171a9932575cd51.jpg,106000000,325
106000000_e6bcbcd965f44069b8a8ab481afdf265.jpg,106000000,163
106000000_f71609ecfb90478883aedbf879a2472c.jpg,106000000,193
106000000_fd38060fd56f4b289cb103cd76768179.jpg,106000000,194
111111111_1137b34526e74a2aba231fa0574010d7.jpg,111111111,223
111111111_14861187338d4bf591b4614d3c452d82.jpg,111111111,163
111111111_2b7f7b3243994c4b81b2669e2de246c7.jpg,111111111,324
111111111_30ab56bcc0414e03b65603cabcdfb68d.jpg,111111111,180
111111111_5273e41db87942bd980b42a82f1cafb0.jpg,111111111,182
111111111_55f764a96c0448c6bbf38222009f1db4.jpg,111111111,183
111111111_7adb7fa9fa55444f9a9ad304164509e0.jpg,111111111,221
111111111_9235ec5dc5394d47b99d1fcf23e2e2bb.jpg,111111111,197
111111111_a08a5bc8b95b4ea5895e932d8f5fe8f1.jpg,111111111,162
111111111_a1722ce9870e4c399ce8a8822980cffd.jpg,111111111,166
111111111_aac786ee88274d678678267e5a59618e.jpg,111111111,169
111111111_ba7f9eb27d314d518e680ddc369610dd.jpg,111111111,173
111111111_c1d8c43e70e04c0486348b3415dbd74f.jpg,111111111,222
111111111_c8148412952d487c9eec7edc4237e6a9.jpg,111111111,238
111111111_d08685647c934cd9b1ebc8b98278c6dc.jpg,111111111,162
111111111_d3638a7a7c614854a6ef5d032069940b.jpg,111111111,178
111111111_f0f8447901944883933f67e6b2a4166e.jpg,111111111,164
111111113_3273b6b93e044d81b82b95242f0171c6.jpg,111111113,180
111111113_9da326301efb439f8e51662d5c1ea6fb.jpg,111111113,170
111111113_dde6d160876044a68fc4d6cb33ce792d.jpg,111111113,222
123456789_0b1b550b3d1e4f09bc9db5747521c1e0.jpg,123456789,158
123456789_278faca2b5024e6589de3d95da1d7e17.jpg,123456789,274
123456789_282e58909fb748359fbd13bfcb7e3a06.jpg,123456789,180
123456789_4647a9127b36407d86456b4e7b121124.jpg,123456789,201
123456789_47188b27b2434c00b15006f78e3a1423.jpg,123456789,235
123456789_5493bdfaa6af438385924e38896e0d3e.jpg,123456789,183
123456789_580a753ffee3427e9234cb784c022bc6.jpg,123456789,191
123456789_6229a2cfcc7c4b9c841a1550bee07b4c.jpg,123456789,193
123456789_638f79ce7d2c48959d2639bca3aaafb9.jpg,123456789,190
123456789_6ea3365999b1494ebff4265b0923833a.jpg,123456789,247
123456789_82cbdc3f72e24ef684a178fdb963c7b7.jpg,123456789,164
123456789_9c5f59eb1723445e81794694188f78e9.jpg,123456789,161
123456789_a262db05008f4d209544f7595eaf876f.jpg,123456789,170
123456789_ba4b7ddbf2bd4a18996eafb3c25b5d06.jpg,123456789,219
