boat_id,image_path
123456,123456_S2B_MSIL1C_20251218T024029_N0511_R089_T50RPN_20251218T034658_SAFE_121.jpg
123456,123456_S2B_MSIL1C_20260205T030819_N0512_R075_T49QDD_20260205T081338_SAFE_5.jpg
123456,123456_S2C_MSIL1C_20260109T023101_N0511_R046_T51RVP_20260109T034437_SAFE_970.jpg
160000000,160000000_S2A_MSIL1C_20251211T030151_N0511_R032_T49QGE_20251211T053130_SAFE_340.jpg
160000000,160000000_S2A_MSIL1C_20251212T023141_N0511_R046_T51RWN_20251212T050309_SAFE_8.jpg
160000000,160000000_S2B_MSIL1C_20251211T025019_N0511_R132_T49QHE_20251211T042918_SAFE_33.jpg
160000000,160000000_S2C_MSIL1C_20260109T023101_N0511_R046_T51RVP_20260109T034437_SAFE_1096.jpg
160000000,160000000_S2C_MSIL1C_20260109T023101_N0511_R046_T51RWM_20260109T034437_SAFE_71.jpg
160000000,160000000_S2C_MSIL1C_20260109T023101_N0511_R046_T51RWN_20260109T034437_SAFE_18.jpg
160000000,160000000_S2C_MSIL1C_20260128T030001_N0511_R032_T49QGE_20260128T045310_SAFE_125.jpg
160000000,160000000_S2C_MSIL1C_20260204T024921_N0511_R132_T50QML_20260204T044515_SAFE_435.jpg
160000000,160000000_S2C_MSIL1C_20260208T022851_N0512_R046_T51RUM_20260208T041801_SAFE_207.jpg
190000000,190000000_S2B_MSIL1C_20251225T023019_N0511_R046_T51RVP_20251225T033835_SAFE_92.jpg
190000000,190000000_S2C_MSIL1C_20260106T022111_N0511_R003_T52RBV_20260106T033314_SAFE_33.jpg
201011,201011_S2B_MSIL1C_20251224T030029_N0511_R032_T49QED_20251224T044412_SAFE_295.jpg
201011,201011_S2B_MSIL1C_20260212T025729_N0512_R032_T49QFD_20260212T044529_SAFE_154.jpg
201011,201011_S2B_MSIL1C_20260219T024649_N0512_R132_T50QML_20260219T061559_SAFE_133.jpg
205027000,205027000_S2B_MSIL1C_20251212T022009_N0511_R003_T50NRM_20251212T035846_SAFE_6.jpg
205102000,205102000_S2B_MSIL1C_20260203T022819_N0511_R046_T51QTA_20260203T041741_SAFE_12.jpg
205102000,205102000_S2C_MSIL1C_20251220T023131_N0511_R046_T50PQC_20251220T034539_SAFE_42.jpg
205104000,205104000_S2C_MSIL1C_20260112T160631_N0511_R097_T16QGJ_20260112T175748_SAFE_1.jpg
205125000,205125000_S2C_MSIL1C_20260122T110351_N0511_R094_T31UEV_20260122T125922_SAFE_29.jpg
205146000,205146000_S2C_MSIL1C_20260104T115221_N0511_R123_T28RDT_20260104T121635_SAFE_0.jpg
205178000,205178000_S2C_MSIL1C_20251215T064311_N0511_R120_T40QFM_20251215T082848_SAFE_46.jpg
205178000,205178000_S2C_MSIL1C_20260112T092341_N0511_R093_T32MRV_20260112T112800_SAFE_20.jpg
205178000,205178000_S2C_MSIL1C_20260226T064841_N0512_R020_T40RCP_20260226T102850_SAFE_17.jpg
205194000,205194000_S2B_MSIL1C_20251223T020309_N0511_R017_T51MYQ_20251223T051500_SAFE_1.jpg
205194000,205194000_S2B_MSIL1C_20260302T021529_N0512_R003_T50NQH_20260302T054512_SAFE_16.jpg
205221000,205221000_S2B_MSIL1C_20260219T131239_N0512_R138_T23KMP_20260219T162247_SAFE_23.jpg
205224000,205224000_S2C_MSIL1C_20251227T022121_N0511_R003_T50NRP_20251227T040934_SAFE_9.jpg
205225000,205225000_S2B_MSIL1C_20260120T024929_N0511_R132_T50SPJ_20260120T042917_SAFE_46.jpg
205225000,205225000_S2B_MSIL1C_20260304T025519_N0512_R032_T50SQJ_20260304T062504_SAFE_0.jpg
205229000,205229000_S2B_MSIL1C_20251226T135659_N0511_R067_T19EDT_20251226T200523_SAFE_0.jpg
205229000,205229000_S2B_MSIL1C_20260221T183259_N0512_R027_T11RLP_20260221T234137_SAFE_0.jpg
205229000,205229000_S2C_MSIL1C_20251213T143751_N0511_R096_T18GUP_20251213T170621_SAFE_0.jpg
205239000,205239000_S2B_MSIL1C_20251211T175639_N0511_R141_T12QVL_20251211T195003_SAFE_2.jpg
205239000,205239000_S2B_MSIL1C_20260227T154549_N0512_R111_T17PQM_20260227T203517_SAFE_4.jpg
205239000,205239000_S2C_MSIL1C_20260210T113321_N0512_R080_T29TML_20260210T132911_SAFE_6.jpg
205249000,205249000_S2C_MSIL1C_20251224T021121_N0511_R103_T51QYB_20251224T035937_SAFE_0.jpg
205249000,205249000_S2C_MSIL1C_20251231T021221_N0511_R060_T51LUE_20251231T050540_SAFE_0.jpg
205249000,205249000_S2C_MSIL1C_20260209T021211_N0512_R060_T50KQE_20260209T053011_SAFE_0.jpg
205268000,205268000_S2B_MSIL1C_20260216T041739_N0512_R090_T46QCK_20260216T060617_SAFE_246.jpg
205268000,205268000_S2B_MSIL1C_20260301T042659_N0512_R133_T46QCK_20260301T080106_SAFE_174.jpg
205268000,205268000_S2C_MSIL1C_20260206T051011_N0512_R019_T43NFB_20260206T083707_SAFE_1.jpg
205268000,205268000_S2C_MSIL1C_20260221T041811_N0512_R090_T46QCK_20260221T060910_SAFE_290.jpg
205268000,205268000_S2C_MSIL1C_20260224T042751_N0512_R133_T46QCK_20260224T061920_SAFE_101.jpg
205276000,205276000_S2A_MSIL1C_20251231T030201_N0511_R032_T50SPH_20251231T051405_SAFE_184.jpg
205276000,205276000_S2A_MSIL1C_20260108T022141_N0511_R003_T51RXM_20260108T061624_SAFE_3.jpg
